Timestamps,Signals
88017.12626328597,-6427.624
88017.12726329488,-6421.321
88017.1282633038,-6340.832
88017.12926331272,-6334.931
88017.13026332164,-6403.1934
88017.13126333056,-6406.054
88017.13226333947,-6342.575
88017.1332633484,-6348.4316
88017.13426335731,-6417.968
88017.13526336623,-6417.8784
88017.13626337516,-6343.514
88017.13726338407,-6337.032
88017.13826339299,-6407.5967
88017.1392634019,-6409.385
88017.14026341082,-6339.0215
88017.14126341975,-6341.659
88017.14226342866,-6414.995
88017.14326343758,-6412.112
88017.14426344649,-6333.098
88017.14526345542,-6328.673
88017.14626346434,-6409.4297
88017.14726347325,-6414.526
88017.14826348217,-6320.4917
88017.14926349108,-6317.6978
88017.1502635,-6423.31
88017.15126350893,-6434.1504
88017.15226351784,-6346.666
88017.15326352676,-6345.839
88017.15426353567,-6424.07
88017.1552635446,-6424.8296
88017.15626355351,-6351.2256
88017.15726356243,-6352.0747
88017.15826357136,-6424.4497
88017.15926358027,-6426.171
88017.16026358919,-6356.7017
88017.1612635981,-6358.2886
88017.16226360702,-6428.16
88017.16326361595,-6422.751
88017.16426362486,-6344.2964
88017.16526363378,-6345.9727
88017.16626364269,-6426.886
88017.16726365162,-6439.023
88017.16826366054,-6366.6704
88017.16926366945,-6360.5464
88017.17026367837,-6429.278
88017.17126368728,-6428.16
88017.17226369621,-6358.8477
88017.17326370513,-6363.0273
88017.17426371404,-6438.129
88017.17526372297,-6438.7324
88017.17626373188,-6367.274
88017.1772637408,-6369.0845
88017.17826374972,-6440.8335
88017.17926375863,-6436.9893
88017.18026376756,-6353.9746
88017.18126377647,-6353.7065
88017.18226378539,-6430.7754
88017.18326379432,-6430.9097
88017.18426380322,-6351.829
88017.18526381215,-6351.449
88017.18626382106,-6423.6675
88017.18726382998,-6417.2524
88017.1882638389,-6338.7754
88017.18926384782,-6340.094
88017.19026385674,-6419.689
88017.19126386565,-6422.5723
88017.19226387457,-6341.8823
88017.1932638835,-6334.305
88017.19426389241,-6409.966
88017.19526390133,-6418.3477
88017.19626391024,-6344.006
88017.19726391917,-6341.145
88017.19826392809,-6412.38
88017.199263937,-6411.0166
88017.20026394592,-6334.842
88017.20126395483,-6333.8584
88017.20226396376,-6415.0845
88017.20326397268,-6419.622
88017.20426398159,-6340.4297
88017.20526399052,-6341.413
88017.20626399943,-6416.6045
88017.20726400835,-6418.5713
88017.20826401727,-6344.274
88017.20926402618,-6341.458
88017.21026403511,-6413.2964
88017.21126404402,-6418.1914
88017.21226405294,-6350.041
88017.21326406187,-6347.1353
88017.21426407078,-6423.131
88017.2152640797,-6426.171
88017.21626408861,-6345.5034
88017.21726409753,-6340.0273
88017.21826410646,-6413.855
88017.21926411537,-6413.207
88017.22026412429,-6337.7026
88017.2212641332,-6342.0615
88017.22226414212,-6421.343
88017.22326415105,-6420.4937
88017.22426415996,-6336.25
88017.22526416888,-6325.3423
88017.22626417779,-6404.4673
88017.22726418672,-6416.113
88017.22826419564,-6341.033
88017.22926420455,-6347.2915
88017.23026421347,-6424.271
88017.23126422238,-6425.8135
88017.23226423131,-6349.996
88017.23326424023,-6343.738
88017.23426424914,-6411.2397
88017.23526425807,-6405.786
88017.23626426698,-6327.868
88017.2372642759,-6330.103
88017.23826428482,-6407.53
88017.23926429373,-6412.1787
88017.24026430266,-6333.344
88017.24126431157,-6329.991
88017.24226432049,-6404.847
88017.24326432942,-6407.105
88017.24426433833,-6336.3394
88017.24526434725,-6338.3286
88017.24626435616,-6408.647
88017.24726436508,-6407.8647
88017.24826437401,-6334.7075
88017.24926438292,-6333.2324
88017.25026439184,-6402.3438
88017.25126440075,-6397.471
88017.25226440968,-6323.5093
88017.2532644186,-6326.3706
88017.25426442751,-6397.5386
88017.25526443643,-6395.7725
88017.25626444534,-6322.6377
88017.25726445427,-6328.136
88017.25826446319,-6408.2227
88017.2592644721,-6414.369
88017.26026448102,-6344.52
88017.26126448993,-6344.1846
88017.26226449886,-6414.056
88017.26326450778,-6411.9775
88017.26426451669,-6333.344
88017.26526452562,-6334.9536
88017.26626453453,-6415.956
88017.26726454345,-6418.951
88017.26826455237,-6345.928
88017.26926456128,-6348.6104
88017.27026457021,-6424.9414
88017.27126457912,-6425.59
88017.27226458804,-6350.3315
88017.27326459697,-6341.7485
88017.27426460588,-6397.002
88017.2752646148,-6393.94
88017.27626462371,-6339.1777
88017.27726463263,-6347.6494
88017.27826464156,-6419.421
88017.27926465047,-6421.678
88017.28026465939,-6351.3374
88017.2812646683,-6352.097
88017.28226467723,-6418.549
88017.28326468614,-6416.47
88017.28426469506,-6340.6753
88017.28526470398,-6338.843
88017.2862647129,-6409.2505
88017.28726472182,-6403.5957
88017.28826473073,-6328.4937
88017.28926473965,-6338.2837
88017.29026474858,-6421.1865
88017.29126475748,-6423.31
88017.29226476641,-6340.6084
88017.29326477532,-6337.457
88017.29426478424,-6413.4976
88017.29526479317,-6415.174
88017.29626480208,-6340.318
88017.297264811,-6332.3384
88017.29826481991,-6400.4663
88017.29926482883,-6414.034
88017.30026483776,-6351.829
88017.30126484667,-6347.359
88017.30226485559,-6416.2246
