Timestamps,Signals
88017.12626328597,-875.339
88017.12726329488,-863.2914
88017.1282633038,-768.54236
88017.12926331272,-783.2498
88017.13026332164,-877.6859
88017.13126333056,-863.04553
88017.13226333947,-766.2401
88017.1332633484,-779.33826
88017.13426335731,-874.6684
88017.13526336623,-859.8045
88017.13626337516,-759.1099
88017.13726338407,-776.0749
88017.13826339299,-876.9483
88017.1392634019,-863.3137
88017.14026341082,-760.4734
88017.14126341975,-771.44806
88017.14226342866,-870.7345
88017.14326343758,-857.36816
88017.14426344649,-757.9253
88017.14526345542,-775.2702
88017.14626346434,-875.9201
88017.14726347325,-860.5198
88017.14826348217,-750.39276
88017.14926349108,-762.9544
88017.1502635,-878.4012
88017.15126350893,-874.4449
88017.15226351784,-766.5977
88017.15326352676,-777.21484
88017.15426353567,-879.5858
88017.1552635446,-868.1864
88017.15626355351,-768.02826
88017.15726356243,-780.3217
88017.15826357136,-878.9152
88017.15926358027,-864.14075
88017.16026358919,-764.74255
88017.1612635981,-785.6191
88017.16226360702,-888.1018
88017.16326361595,-872.6344
88017.16426362486,-767.4695
88017.16526363378,-780.90283
88017.16626364269,-883.1397
88017.16726365162,-871.29333
88017.16826366054,-769.2129
88017.16926366945,-779.9194
88017.17026367837,-879.51874
88017.17126368728,-874.71313
88017.17226369621,-778.66766
88017.17326370513,-790.6706
88017.17426371404,-891.0746
88017.17526372297,-878.9823
88017.17626373188,-777.99713
88017.1772637408,-788.9271
88017.17826374972,-888.50415
88017.17926375863,-873.7073
88017.18026376756,-769.8611
88017.18126377647,-785.8649
88017.18226378539,-893.8015
88017.18326379432,-882.0445
88017.18426380322,-775.02435
88017.18526381215,-783.0039
88017.18626382106,-881.4633
88017.18726382998,-865.25836
88017.1882638389,-763.20026
88017.18926384782,-778.0418
88017.19026385674,-883.2962
88017.19126386565,-870.57806
88017.19226387457,-765.34607
88017.1932638835,-775.3373
88017.19426389241,-876.9483
88017.19526390133,-869.5722
88017.19626391024,-769.97284
88017.19726391917,-780.34406
88017.19826392809,-879.16113
88017.199263937,-865.61597
88017.20026394592,-764.6755
88017.20126395483,-775.9855
88017.20226396376,-877.5965
88017.20326397268,-865.7724
88017.20426398159,-764.9214
88017.20526399052,-778.1536
88017.20626399943,-877.2389
88017.20726400835,-865.5936
88017.20826401727,-763.2897
88017.20926402618,-773.92914
88017.21026403511,-877.28357
88017.21126404402,-871.8074
88017.21226405294,-771.0681
88017.21326406187,-779.82996
88017.21426407078,-879.25055
88017.2152640797,-873.2156
88017.21626408861,-773.1021
88017.21726409753,-782.1322
88017.21826410646,-882.06683
88017.21926411537,-868.20874
88017.22026412429,-765.48016
88017.2212641332,-778.4889
88017.22226414212,-878.4682
88017.22326415105,-863.1573
88017.22426415996,-756.5618
88017.22526416888,-765.1449
88017.22626417779,-869.7957
88017.22726418672,-869.8628
88017.22826419564,-774.175
88017.22926420455,-786.24493
88017.23026421347,-882.6256
88017.23126422238,-868.9911
88017.23226423131,-765.1896
88017.23326424023,-775.02435
88017.23426424914,-878.9152
88017.23526425807,-866.77826
88017.23626426698,-760.29456
88017.2372642759,-771.22455
88017.23826428482,-874.93665
88017.23926429373,-869.5275
88017.24026430266,-768.89996
88017.24126431157,-779.7182
88017.24226432049,-878.5576
88017.24326432942,-866.13007
88017.24426433833,-767.6259
88017.24526434725,-781.1711
88017.24626435616,-879.3399
88017.24726436508,-866.3759
88017.24826437401,-764.8543
88017.24926438292,-776.4549
88017.25026439184,-875.6519
88017.25126440075,-860.6092
88017.25226440968,-760.9204
88017.2532644186,-775.4267
88017.25426442751,-873.7073
88017.25526443643,-860.47504
88017.25626444534,-759.6687
88017.25726445427,-773.6162
88017.25826446319,-875.7637
88017.2592644721,-863.20197
88017.26026448102,-763.1556
88017.26126448993,-774.175
88017.26226449886,-870.2875
88017.26326450778,-864.87836
88017.26426451669,-771.8951
88017.26526452562,-785.01556
88017.26626453453,-885.5537
88017.26726454345,-872.0756
88017.26826455237,-769.41406
88017.26926456128,-780.6793
88017.27026457021,-880.85986
88017.27126457912,-868.6334
88017.27226458804,-766.68713
88017.27326459697,-776.4549
88017.27426460588,-874.9813
88017.2752646148,-865.81714
88017.27626462371,-771.5598
88017.27726463263,-786.2002
88017.27826464156,-884.2126
88017.27926465047,-871.6956
88017.28026465939,-773.9515
88017.2812646683,-787.5413
88017.28226467723,-884.2573
88017.28326468614,-870.958
88017.28426469506,-769.10114
88017.28526470398,-779.56177
88017.2862647129,-879.31757
88017.28726472182,-867.29236
88017.28826473073,-768.14
88017.28926473965,-784.8815
88017.29026474858,-889.0406
88017.29126475748,-878.95996
88017.29226476641,-773.8174
88017.29326477532,-782.89215
88017.29426478424,-882.8715
88017.29526479317,-871.51685
88017.29626480208,-768.16235
88017.297264811,-775.9184
88017.29826481991,-880.234
88017.29926482883,-874.3331
88017.30026483776,-772.9456
88017.30126484667,-786.60254
88017.30226485559,-887.69946
